Tag_01	R35F4G3
Tag_02	R04F2G1
Tag_03	R34F2G3
Tag_04	R21F2G2
Tag_05	R19F2G2
Tag_06	R29F2G3
Tag_07	R38F4G4
Tag_08	R06F4G1
Tag_09	R10F4G1
Tag_10	R16F4G2
Tag_11	R25F4G3
Tag_12	R28F4G3
Tag_13	R33F2G3
Tag_14	R02F2G1
Tag_15	R36F2G3
Tag_16	R32F4G3
Tag_17	R08F2G1
Tag_18	R20F2G2
Tag_19	R26F2G3
Tag_20	R22F2G2
Tag_21	R05F4G1
Tag_22	R24F4G2
Tag_23	R25F2G3
Tag_24	R30F4G3
Tag_25	R48F4G4
Tag_26	R38F2G4
Tag_27	R33F4G3
Tag_28	R44F4G4
Tag_29	R29F4G3
Tag_30	R22F4G2
Tag_31	R16F2G2
Tag_32	R21F4G2
Tag_33	R28F2G3
Tag_34	R05F2G1
Tag_35	R20F4G2
Tag_36	R39F4G4
Tag_37	R47F4G4
Tag_38	R31F4G3
Tag_39	R45F2G4
Tag_40	R35F2G3
Tag_41	R11F2G1
Tag_42	R01F2G1
Tag_43	R11F4G1
Tag_44	R42F4G4
Tag_45	R19F4G2
Tag_46	R23F2G2
Tag_47	R13F4G2
Tag_48	R40F2G4
Tag_49	R41F4G4
Tag_50	R15F2G2
Tag_51	R18F4G2
Tag_52	R15F4G2
Tag_53	R09F4G1
Tag_54	R41F2G4
Tag_55	R42F2G4
Tag_56	R13F2G2
Tag_57	R01F4G1
Tag_58	R23F4G2
Tag_59	R46F4G4
Tag_60	R37F2G4
Tag_61	R07F4G1
Tag_62	R17F2G2
Tag_63	R07F2G1
Tag_64	R17F4G2
Tag_65	R27F4G3
Tag_66	R47F2G4
Tag_67	R45F4G4
Tag_68	R43F2G4
Tag_69	R39F2G4
Tag_70	R12F2G1
Tag_71	R04F4G1
Tag_72	R12F4G1
Tag_73	R14F2G2
Tag_74	R36F4G3
Tag_75	R06F2G1
Tag_76	R31F2G3
Tag_77	R03F2G1
Tag_78	R09F2G1
Tag_79	R02F4G1
Tag_80	R48F2G4
Tag_81	R34F4G3
Tag_82	R08F4G1
Tag_83	R32F2G3
Tag_84	R10F2G1
Tag_85	R26F4G3
Tag_86	R40F4G4
Tag_87	R27F2G3
Tag_88	R18F2G2
Tag_89	R44F2G4
Tag_90	R46F2G4
Tag_91	R14F4G2
Tag_92	R37F4G4
Tag_93	R03F4G1
Tag_94	R30F2G3
Tag_95	R43F4G4
Tag_96	R24F2G2
